,year,month,stateid,price,price-units
0,2023,12,HI,0.0,cents per kilowatt-hour
5,2023,12,ID,11.53,cents per kilowatt-hour
6,2023,12,ID,0.0,cents per kilowatt-hour
11,2023,12,IL,14.84,cents per kilowatt-hour
12,2023,12,IL,7.29,cents per kilowatt-hour
17,2023,12,IN,14.58,cents per kilowatt-hour
18,2023,12,IN,11.56,cents per kilowatt-hour
23,2023,12,IA,11.95,cents per kilowatt-hour
24,2023,12,IA,0.0,cents per kilowatt-hour
29,2023,12,KS,12.72,cents per kilowatt-hour
30,2023,12,KS,0.0,cents per kilowatt-hour
35,2023,12,KY,12.34,cents per kilowatt-hour
36,2023,12,KY,0.0,cents per kilowatt-hour
41,2023,12,LA,11.21,cents per kilowatt-hour
42,2023,12,LA,11.22,cents per kilowatt-hour
47,2023,12,ME,27.99,cents per kilowatt-hour
48,2023,12,ME,0.0,cents per kilowatt-hour
53,2023,12,MD,17.46,cents per kilowatt-hour
56,2023,10,WY,12.49,cents per kilowatt-hour
57,2023,10,WY,0.0,cents per kilowatt-hour
62,2023,10,NEW,28.05,cents per kilowatt-hour
63,2023,10,NEW,10.94,cents per kilowatt-hour
68,2023,10,MAT,19.67,cents per kilowatt-hour
69,2023,10,MAT,14.21,cents per kilowatt-hour
74,2023,10,ENC,16.51,cents per kilowatt-hour
75,2023,10,ENC,7.35,cents per kilowatt-hour
80,2023,10,WNC,13.22,cents per kilowatt-hour
81,2023,10,WNC,12.44,cents per kilowatt-hour
86,2023,10,SAT,15.0,cents per kilowatt-hour
87,2023,10,SAT,10.25,cents per kilowatt-hour
92,2023,10,ESC,13.48,cents per kilowatt-hour
93,2023,10,ESC,0.0,cents per kilowatt-hour
98,2023,10,WSC,14.18,cents per kilowatt-hour
99,2023,10,WSC,7.34,cents per kilowatt-hour
106,2023,09,LA,11.42,cents per kilowatt-hour
107,2023,09,LA,10.52,cents per kilowatt-hour
112,2023,09,ME,26.79,cents per kilowatt-hour
113,2023,09,ME,0.0,cents per kilowatt-hour
118,2023,09,MD,16.95,cents per kilowatt-hour
119,2023,09,MD,11.44,cents per kilowatt-hour
124,2023,09,MA,28.18,cents per kilowatt-hour
125,2023,09,MA,6.79,cents per kilowatt-hour
130,2023,09,MI,19.49,cents per kilowatt-hour
131,2023,09,MI,13.71,cents per kilowatt-hour
136,2023,09,MN,15.44,cents per kilowatt-hour
137,2023,09,MN,12.53,cents per kilowatt-hour
142,2023,01,NJ,16.89,cents per kilowatt-hour
143,2023,01,NJ,14.36,cents per kilowatt-hour
144,2023,11,MAT,14.82,cents per kilowatt-hour
149,2023,11,ENC,16.18,cents per kilowatt-hour
150,2023,11,ENC,5.94,cents per kilowatt-hour
155,2023,11,WNC,12.67,cents per kilowatt-hour
156,2023,11,WNC,10.47,cents per kilowatt-hour
161,2023,11,SAT,14.54,cents per kilowatt-hour
162,2023,11,SAT,10.21,cents per kilowatt-hour
167,2023,11,ESC,13.53,cents per kilowatt-hour
168,2023,11,ESC,0.0,cents per kilowatt-hour
173,2023,01,NM,13.27,cents per kilowatt-hour
174,2023,01,NM,0.0,cents per kilowatt-hour
179,2023,01,NY,23.62,cents per kilowatt-hour
180,2023,01,NY,14.75,cents per kilowatt-hour
185,2023,01,NC,12.37,cents per kilowatt-hour
186,2023,01,NC,7.69,cents per kilowatt-hour
194,2023,11,WSC,13.86,cents per kilowatt-hour
195,2023,11,WSC,7.77,cents per kilowatt-hour
200,2023,11,MTN,13.85,cents per kilowatt-hour
201,2023,11,MTN,12.57,cents per kilowatt-hour
206,2023,11,PACC,21.57,cents per kilowatt-hour
207,2023,11,PACC,13.17,cents per kilowatt-hour
212,2023,11,PACN,35.06,cents per kilowatt-hour
